placement,team,wins,draws,losses,points
1,Man United-2008,28,6,4,90
2,Liverpool-2008,25,11,2,86
3,Chelsea-2008,25,8,5,83
4,Arsenal-2008,20,12,6,72
5,Everton-2008,17,12,9,63
6,Aston Villa-2008,17,11,10,62
7,Fulham-2008,14,11,13,53
8,Tottenham-2008,14,9,15,51
9,West Ham-2008,14,9,15,51
10,Man City-2008,15,5,18,50
11,Wigan-2008,12,9,17,45
12,Stoke-2008,12,9,17,45
13,Bolton-2008,11,8,19,41
14,Portsmouth-2008,10,11,17,41
15,Blackburn-2008,10,11,17,41
16,Sunderland-2008,9,9,20,36
17,Hull-2008,8,11,19,35
18,Newcastle-2008,7,13,18,34
19,Middlesbrough-2008,7,11,20,32
20,West Brom-2008,8,8,22,32
1,Chelsea-2009,27,5,6,86
2,Man United-2009,27,4,7,85
3,Arsenal-2009,23,6,9,75
4,Tottenham-2009,21,7,10,70
5,Man City-2009,18,13,7,67
6,Aston Villa-2009,17,13,8,64
7,Liverpool-2009,18,9,11,63
8,Everton-2009,16,13,9,61
9,Birmingham City-2009,13,11,14,50
10,Blackburn-2009,13,11,14,50
11,Stoke-2009,11,14,13,47
12,Fulham-2009,12,10,16,46
13,Sunderland-2009,11,11,16,44
14,Bolton-2009,10,9,19,39
15,Wolves-2009,9,11,18,38
16,Wigan-2009,9,9,20,36
17,West Ham-2009,8,11,19,35
18,Burnley-2009,8,6,24,30
19,Hull-2009,6,12,20,30
20,Portsmouth-2009,7,7,24,28
1,Man United-2010,23,11,4,80
2,Chelsea-2010,21,8,9,71
3,Man City-2010,21,8,9,71
4,Arsenal-2010,19,11,8,68
5,Tottenham-2010,16,14,8,62
6,Liverpool-2010,17,7,14,58
7,Everton-2010,13,15,10,54
8,Fulham-2010,11,16,11,49
9,Aston Villa-2010,12,12,14,48
10,Sunderland-2010,12,11,15,47
11,West Brom-2010,12,11,15,47
12,Newcastle-2010,11,13,14,46
13,Stoke-2010,13,7,18,46
14,Bolton-2010,12,10,16,46
15,Blackburn-2010,11,10,17,43
16,Wigan-2010,9,15,14,42
17,Wolves-2010,11,7,20,40
18,Birmingham City-2010,8,15,15,39
19,Blackpool-2010,10,9,19,39
20,West Ham-2010,7,12,19,33
1,Man City-2011,28,5,5,89
2,Man United-2011,28,5,5,89
3,Arsenal-2011,21,7,10,70
4,Tottenham-2011,20,9,9,69
5,Newcastle-2011,19,8,11,65
6,Chelsea-2011,18,10,10,64
7,Everton-2011,15,11,12,56
8,Liverpool-2011,14,10,14,52
9,Fulham-2011,14,10,14,52
10,West Brom-2011,13,8,17,47
11,Swansea-2011,12,11,15,47
12,Norwich-2011,12,11,15,47
13,Sunderland-2011,11,12,15,45
14,Stoke-2011,11,12,15,45
15,Wigan-2011,11,10,17,43
16,Aston Villa-2011,7,17,14,38
17,QPR-2011,10,7,21,37
18,Bolton-2011,10,6,22,36
19,Blackburn-2011,8,7,23,31
20,Wolves-2011,5,10,23,25
1,Man United-2012,28,5,5,89
2,Man City-2012,23,9,6,78
3,Chelsea-2012,22,9,7,75
4,Arsenal-2012,21,10,7,73
5,Tottenham-2012,21,9,8,72
6,Everton-2012,16,15,7,63
7,Liverpool-2012,16,13,9,61
8,West Brom-2012,14,7,17,49
9,Swansea-2012,11,13,14,46
10,West Ham-2012,12,10,16,46
11,Norwich-2012,10,14,14,44
12,Fulham-2012,11,10,17,43
13,Stoke-2012,9,15,14,42
14,Southampton-2012,9,14,15,41
15,Aston Villa-2012,10,11,17,41
16,Newcastle-2012,11,8,19,41
17,Sunderland-2012,9,12,17,39
18,Wigan-2012,9,9,20,36
19,Reading-2012,6,10,22,28
20,QPR-2012,4,13,21,25
1,Man City-2013,27,5,6,86
2,Liverpool-2013,26,6,6,84
3,Chelsea-2013,25,7,6,82
4,Arsenal-2013,24,7,7,79
5,Everton-2013,21,9,8,72
6,Tottenham-2013,21,6,11,69
7,Man United-2013,19,7,12,64
8,Southampton-2013,15,11,12,56
9,Stoke-2013,13,11,14,50
10,Newcastle-2013,15,4,19,49
11,Crystal Palace-2013,13,6,19,45
12,Swansea-2013,11,9,18,42
13,West Ham-2013,11,7,20,40
14,Sunderland-2013,10,8,20,38
15,Aston Villa-2013,10,8,20,38
16,Hull-2013,10,7,21,37
17,West Brom-2013,7,15,16,36
18,Norwich City (R)-2013,8,9,21,33
19,Fulham (R)-2013,9,5,24,32
20,Cardiff City (R)-2013,7,9,22,30
1,Chelsea-2014,26,9,3,87
2,Man City-2014,24,7,7,79
3,Arsenal-2014,22,9,7,75
4,Man United-2014,20,10,8,70
5,Tottenham-2014,19,7,12,64
6,Liverpool-2014,18,8,12,62
7,Southampton-2014,18,6,14,60
8,Swansea-2014,16,8,14,56
9,Stoke-2014,15,9,14,54
10,Crystal Palace-2014,13,9,16,48
11,Everton-2014,12,11,15,47
12,West Ham-2014,12,11,15,47
13,West Brom-2014,11,11,16,44
14,Leicester-2014,11,8,19,41
15,Newcastle-2014,10,9,19,39
16,Sunderland-2014,7,17,14,38
17,Aston Villa-2014,10,8,20,38
18,Hull-2014,8,11,19,35
19,Burnley-2014,7,12,19,33
20,QPR-2014,8,6,24,30
1,Leicester-2015,23,12,3,81
2,Arsenal-2015,20,11,7,71
3,Tottenham-2015,19,13,6,70
4,Man City-2015,19,9,10,66
5,Man United-2015,19,9,10,66
6,Southampton-2015,18,9,11,63
7,West Ham-2015,16,14,8,62
8,Liverpool-2015,16,12,10,60
9,Stoke-2015,14,9,15,51
10,Chelsea-2015,12,14,12,50
11,Everton-2015,11,14,13,47
12,Swansea-2015,12,11,15,47
13,Watford-2015,12,9,17,45
14,West Brom-2015,10,13,15,43
15,Crystal Palace-2015,11,9,18,42
16,Bournemouth-2015,11,9,18,42
17,Sunderland-2015,9,12,17,39
18,Newcastle-2015,9,10,19,37
19,Norwich-2015,9,7,22,34
20,Aston Villa-2015,3,8,27,17
1,Chelsea-2016,30,3,5,93
2,Tottenham-2016,26,8,4,86
3,Man City-2016,23,9,6,78
4,Liverpool-2016,22,10,6,76
5,Arsenal-2016,23,6,9,75
6,Man United-2016,18,15,5,69
7,Everton-2016,17,10,11,61
8,Southampton-2016,12,10,16,46
9,Bournemouth-2016,12,10,16,46
10,West Brom-2016,12,9,17,45
11,West Ham-2016,12,9,17,45
12,Leicester-2016,12,8,18,44
13,Stoke-2016,11,11,16,44
14,Crystal Palace-2016,12,5,21,41
15,Swansea-2016,12,5,21,41
16,Burnley-2016,11,7,20,40
17,Watford-2016,11,7,20,40
18,Hull-2016,9,7,22,34
19,Middlesbrough-2016,5,13,20,28
20,Sunderland-2016,6,6,26,24
1,Man City-2017,32,4,2,100
2,Man United-2017,25,6,7,81
3,Tottenham-2017,23,8,7,77
4,Liverpool-2017,21,12,5,75
5,Chelsea-2017,21,7,10,70
6,Arsenal-2017,19,6,13,63
7,Burnley-2017,14,12,12,54
8,Everton-2017,13,10,15,49
9,Leicester-2017,12,11,15,47
10,Newcastle-2017,12,8,18,44
11,Crystal Palace-2017,11,11,16,44
12,Bournemouth-2017,11,11,16,44
13,West Ham-2017,10,12,16,42
14,Watford-2017,11,8,19,41
15,Brighton-2017,9,13,16,40
16,Huddersfield-2017,9,10,19,37
17,Southampton-2017,7,15,16,36
18,Swansea-2017,8,9,21,33
19,Stoke-2017,7,12,19,33
20,West Brom-2017,6,13,19,31
1,Man City-2018,32,2,4,98
2,Liverpool-2018,30,7,1,97
3,Chelsea-2018,21,9,8,72
4,Tottenham-2018,23,2,13,71
5,Arsenal-2018,21,7,10,70
6,Man United-2018,19,9,10,66
7,Wolves-2018,16,9,13,57
8,Everton-2018,15,9,14,54
9,Leicester-2018,15,7,16,52
10,West Ham-2018,15,7,16,52
11,Watford-2018,14,8,16,50
12,Crystal Palace-2018,14,7,17,49
13,Newcastle-2018,12,9,17,45
14,Bournemouth-2018,13,6,19,45
15,Burnley-2018,11,7,20,40
16,Southampton-2018,9,12,17,39
17,Brighton-2018,9,9,20,36
18,Cardiff-2018,10,4,24,34
19,Fulham-2018,7,5,26,26
20,Huddersfield-2018,3,7,28,16
1,Liverpool-2019,32,3,3,99
2,Man City-2019,26,3,9,81
3,Man United-2019,18,12,8,66
4,Chelsea-2019,20,6,12,66
5,Leicester-2019,18,8,12,62
6,Tottenham-2019,16,11,11,59
7,Wolves-2019,15,14,9,59
8,Arsenal-2019,14,14,10,56
9,Sheffield United-2019,14,12,12,54
10,Burnley-2019,15,9,14,54
11,Southampton-2019,15,7,16,52
12,Everton-2019,13,10,15,49
13,Newcastle-2019,11,11,16,44
14,Crystal Palace-2019,11,10,17,43
15,Brighton-2019,9,14,15,41
16,West Ham-2019,10,8,20,38
17,Aston Villa-2019,10,7,21,37
18,Bournemouth-2019,9,7,22,34
19,Watford-2019,8,10,20,34
20,Norwich-2019,5,6,27,21
1,Man City-2020,27,5,6,86
2,Man United-2020,21,11,6,74
3,Liverpool-2020,20,9,9,69
4,Chelsea-2020,19,10,9,67
5,Leicester-2020,20,6,12,66
6,West Ham-2020,19,8,11,65
7,Tottenham-2020,18,8,12,62
8,Arsenal-2020,18,7,13,61
9,Leeds-2020,18,5,15,59
10,Everton-2020,17,8,13,59
11,Aston Villa-2020,16,7,15,55
12,Newcastle-2020,12,9,17,45
13,Wolves-2020,12,9,17,45
14,Crystal Palace-2020,12,8,18,44
15,Southampton-2020,12,7,19,43
16,Brighton-2020,9,14,15,41
17,Burnley-2020,10,9,19,39
18,Fulham-2020,5,13,20,28
19,West Brom-2020,5,11,22,26
20,Sheffield United-2020,7,2,29,23
1,Man City-2021,29,6,3,93
2,Liverpool-2021,28,8,2,92
3,Chelsea-2021,21,11,6,74
4,Tottenham-2021,22,5,11,71
5,Arsenal-2021,22,3,13,69
6,Man United-2021,16,10,12,58
7,West Ham-2021,16,8,14,56
8,Leicester-2021,14,10,14,52
9,Brighton-2021,12,15,11,51
10,Wolves-2021,15,6,17,51
11,Newcastle-2021,13,10,15,49
12,Crystal Palace-2021,11,15,12,48
13,Brentford-2021,13,7,18,46
14,Aston Villa-2021,13,6,19,45
15,Southampton-2021,9,13,16,40
16,Everton-2021,11,6,21,39
17,Leeds-2021,9,11,18,38
18,Burnley-2021,7,14,17,35
19,Watford-2021,6,5,27,23
20,Norwich-2021,5,7,26,22
1,Man City-2022,28,5,5,89
2,Arsenal-2022,26,6,6,84
3,Man United-2022,23,6,9,75
4,Newcastle-2022,19,14,5,71
5,Liverpool-2022,19,10,9,67
6,Brighton-2022,18,8,12,62
7,Aston Villa-2022,18,7,13,61
8,Tottenham-2022,18,6,14,60
9,Brentford-2022,15,14,9,59
10,Fulham-2022,15,7,16,52
11,Crystal Palace-2022,11,12,15,45
12,Chelsea-2022,11,11,16,44
13,Wolves-2022,11,8,19,41
14,West Ham-2022,11,7,20,40
15,Bournemouth-2022,11,6,21,39
16,Nott'm Forest-2022,9,11,18,38
17,Everton-2022,8,12,18,36
18,Leicester-2022,9,7,22,34
19,Leeds-2022,7,10,21,31
20,Southampton-2022,6,7,25,25
